Player,School,Hometown,Hometown State,Hometown Full,Hometown Coordinates,Hometown Lat,Hometown Lon
Henry Godbout,Virginia,Brooklyn,NY,"Brooklyn, NY","(40.6526006, -73.9497211)",40.6526006,-73.9497211
Mark Gialluisi,Virginia,Westfield,NJ,"Westfield, NJ","(40.6589912, -74.3473717)",40.6589912,-74.3473717
Jay Woolfolk,Virginia,Chesterfield,VA,"Chesterfield, VA","(37.3859982, -77.578509)",37.3859982,-77.578509
Luke Hanson,Virginia,Williamsburg,VA,"Williamsburg, VA","(37.2708788, -76.7074042)",37.2708788,-76.7074042
Griff O'Ferrall,Virginia,Richmond,VA,"Richmond, VA","(37.5385087, -77.43428)",37.5385087,-77.43428
Aidan Teel,Virginia,Mahwah,NJ,"Mahwah, NJ","(41.0887072, -74.1437552)",41.0887072,-74.1437552
Casey Saucke,Virginia,Rochester,NY,"Rochester, NY","(43.157285, -77.615214)",43.157285,-77.615214
Henry Ford,Virginia,Charlottesville,VA,"Charlottesville, VA","(38.029306, -78.4766781)",38.029306,-78.4766781
Bradley Hodges,Virginia,Fleming Island,FL,"Fleming Island, FL","(24.5810655, -81.79636733317399)",24.5810655,-81.79636733
Charlie Oschell,Virginia,Phoenixville,PA,"Phoenixville, PA","(40.1303822, -75.5149128)",40.1303822,-75.5149128
Ryan Osinski,Virginia,Alexandria,VA,"Alexandria, VA","(38.8051095, -77.0470229)",38.8051095,-77.0470229
Jack O'Connor,Virginia,Arlington,VA,"Arlington, VA","(38.8903961, -77.0841585)",38.8903961,-77.0841585
Evan Blanco,Virginia,Woburn,MA,"Woburn, MA","(42.4792618, -71.1522766)",42.4792618,-71.1522766
Anthony Stephan,Virginia,Ridgewood,NJ,"Ridgewood, NJ","(40.9796683, -74.1194403)",40.9796683,-74.1194403
Tristan Head,Virginia,Jupiter,FL,"Jupiter, FL","(26.9342246, -80.0942087)",26.9342246,-80.0942087
Bobby Whalen,Virginia,Camp Hill,PA,"Camp Hill, PA","(40.2398118, -76.9199742)",40.2398118,-76.9199742
Owen Coady,Virginia,Larchmont,NY,"Larchmont, NY","(40.9278769, -73.7517983)",40.9278769,-73.7517983
Antonio Perrotta,Virginia,Rockville,MD,"Rockville, MD","(39.0817985, -77.1516844)",39.0817985,-77.1516844
Eric Becker,Virginia,Thiells,NY,"Thiells, NY","(41.2108695, -74.0182453)",41.2108695,-74.0182453
Ethan Anderson,Virginia,Virginia Beach,VA,"Virginia Beach, VA","(36.8529841, -75.9774183)",36.8529841,-75.9774183
Matthew Buchanan,Virginia,Lebanon,VA,"Lebanon, VA","(36.9009076, -82.0801257)",36.9009076,-82.0801257
Joe Savino,Virginia,Ronkonkoma,NY,"Ronkonkoma, NY","(40.803529, -73.124548)",40.803529,-73.124548
Jacob Ference,Virginia,Mount Airy,MD,"Mount Airy, MD","(39.3765918, -77.1549078)",39.3765918,-77.1549078
Blake Barker,Virginia,Chardon,OH,"Chardon, OH","(41.5824944, -81.2034066)",41.5824944,-81.2034066
Kevin Jaxel,Virginia,Congers,NY,"Congers, NY","(41.150651, -73.9454159)",41.150651,-73.9454159
Angelo Tonas,Virginia,Hillsborough,CA,"Hillsborough, CA","(37.557252, -122.362529)",37.557252,-122.362529
Walker Buchanan,Virginia,Jupiter,FL,"Jupiter, FL","(26.9342246, -80.0942087)",26.9342246,-80.0942087
Freddy Beruvides Jr.,Virginia,Palm Beach Gardens,FL,"Palm Beach Gardens, FL","(26.8233946, -80.1386547)",26.8233946,-80.1386547
Harrison Didawick,Virginia,Chesapeake,VA,"Chesapeake, VA","(36.7168315, -76.2494453)",36.7168315,-76.2494453
Cullen McKay,Virginia,Norfolk,VA,"Norfolk, VA","(36.8493695, -76.2899539)",36.8493695,-76.2899539
Bryson Moore,Virginia,Fairfax,VA,"Fairfax, VA","(38.8156356, -77.2836849)",38.8156356,-77.2836849
Tommy Roldan,Virginia,Poolesville,MD,"Poolesville, MD","(39.146088, -77.4166561)",39.146088,-77.4166561
Dean Kampschror,Virginia,Falls Church,VA,"Falls Church, VA","(38.882334, -77.1710914)",38.882334,-77.1710914
Matt Augustin,Virginia,Cherry Hill,NJ,"Cherry Hill, NJ","(39.9348351, -75.0307264)",39.9348351,-75.0307264
Luke Schauer,Virginia,Washington,DC,"Washington, DC","(38.8950368, -77.0365427)",38.8950368,-77.0365427
Nate Bassett,Virginia,Bristow,VA,"Bristow, VA","(38.7233263, -77.5365669)",38.7233263,-77.5365669
Patric Menk,Virginia,Jacksonville,FL,"Jacksonville, FL","(30.3321838, -81.655651)",30.3321838,-81.655651
Jimmy Romano,Duke,Roseland,NJ,"Roseland, NJ","(40.8206555, -74.2937595)",40.8206555,-74.2937595
Andrew Healy,Duke,Glen Mills,PA,"Glen Mills, PA","(39.919698, -75.4904323)",39.919698,-75.4904323
Andrew Yu,Duke,Nashville,TN,"Nashville, TN","(36.1622767, -86.7742984)",36.1622767,-86.7742984
Gabe Nard,Duke,Shaker Heights,OH,"Shaker Heights, OH","(41.4739419, -81.5370671)",41.4739419,-81.5370671
Alex Stone,Duke,Andover,NJ,"Andover, NJ","(40.9859311, -74.7421089)",40.9859311,-74.7421089
Macon Winslow,Duke,Hertford,NC,"Hertford, NC","(36.3560545, -77.0115135)",36.3560545,-77.0115135
Wallace Clark,Duke,Tulsa,OK,"Tulsa, OK","(36.1563122, -95.9927516)",36.1563122,-95.9927516
Josh Allen,Duke,Oviedo,FL,"Oviedo, FL","(28.6702526, -81.2084941)",28.6702526,-81.2084941
Owen Proksch,Duke,Southlake,TX,"Southlake, TX","(32.9412363, -97.1341783)",32.9412363,-97.1341783
Aidan Weaver,Duke,Jamison,PA,"Jamison, PA","(40.2548297, -75.0893372)",40.2548297,-75.0893372
Edward Hart,Duke,San Antonio,TX,"San Antonio, TX","(29.4246002, -98.4951405)",29.4246002,-98.4951405
Jonathan Santucci,Duke,Leominster,MA,"Leominster, MA","(42.5267443, -71.7614891)",42.5267443,-71.7614891
Devin Obee,Duke,Nashville,TN,"Nashville, TN","(36.1622767, -86.7742984)",36.1622767,-86.7742984
Kyle Johnson,Duke,Leesburg,VA,"Leesburg, VA","(39.1154506, -77.5645607)",39.1154506,-77.5645607
Jackson Emus,Duke,Clinton,MA,"Clinton, MA","(42.4212463, -71.6874099)",42.4212463,-71.6874099
James Tallon,Duke,Arlington,VA,"Arlington, VA","(38.8903961, -77.0841585)",38.8903961,-77.0841585
Sam Harris,Duke,Urbandale,IO,"Urbandale, IO","(41.6294, -93.7607)",41.6294,-93.7607
Tim Noone,Duke,Needham,MA,"Needham, MA","(42.2802645, -71.2360624)",42.2802645,-71.2360624
Nick Conte,Duke,North Providence,RI,"North Providence, RI","(41.8500997, -71.4661703)",41.8500997,-71.4661703
Mike Miller,Duke,Mendota,MN,"Mendota, MN","(44.8871878, -93.1643869)",44.8871878,-93.1643869
Zac Morris,Duke,Suffolk,VA,"Suffolk, VA","(36.7282096, -76.5835703)",36.7282096,-76.5835703
Logan Bravo,Duke,Andover,MA,"Andover, MA","(42.65717, -71.1408776)",42.65717,-71.1408776
Chad Knight,Duke,Westport,CT,"Westport, CT","(41.1414855, -73.3578955)",41.1414855,-73.3578955
Chase Krewson,Duke,Bridgeville,PA,"Bridgeville, PA","(40.3561805, -80.1100556)",40.3561805,-80.1100556
Ryan Higgins,Duke,New Canaan,CT,"New Canaan, CT","(41.146763, -73.4948446)",41.146763,-73.4948446
AJ Gracia,Duke,Monroe,NJ,"Monroe, NJ","(41.114541, -74.6340505)",41.114541,-74.6340505
Camron Poe,Duke,Chesterfield,MO,"Chesterfield, MO","(38.661953, -90.5643258)",38.661953,-90.5643258
Fran Oschell III,Duke,Phoenixville,PA,"Phoenixville, PA","(40.1303822, -75.5149128)",40.1303822,-75.5149128
Sam Yelton,Duke,Harrisburg,NC,"Harrisburg, NC","(35.3258295, -80.6454979)",35.3258295,-80.6454979
Roman DiGiacomo,Duke,Fairfield,CT,"Fairfield, CT","(41.1412078, -73.2637258)",41.1412078,-73.2637258
Ben Miller,Duke,Durham,NC,"Durham, NC","(35.996653, -78.9018053)",35.996653,-78.9018053
David Boisvert,Duke,Charlotte,NC,"Charlotte, NC","(35.2272086, -80.8430827)",35.2272086,-80.8430827
Noah Murray,Duke,Crozet,VA,"Crozet, VA","(38.0695816, -78.7005751)",38.0695816,-78.7005751
Tyler Albright,Duke,Greensboro,NC,"Greensboro, NC","(36.0726355, -79.7919754)",36.0726355,-79.7919754
Jimmy Evans,Duke,Norwalk,CT,"Norwalk, CT","(41.1175966, -73.4078968)",41.1175966,-73.4078968
Charlie Beilenson,Duke,Los Angeles,CA,"Los Angeles, CA","(34.0536909, -118.242766)",34.0536909,-118.242766
James Raidt,Duke,Stamford,CT,"Stamford, CT","(41.0534302, -73.5387341)",41.0534302,-73.5387341
Harrison Rodgers,Duke,San Diego,CA,"San Diego, CA","(32.7174202, -117.162772)",32.7174202,-117.162772
Ben Weaver,Duke,Doylestown,PA,"Doylestown, PA","(40.3100446, -75.1304588)",40.3100446,-75.1304588
Dorian Gonzalez Jr.,Miami,Miami,FL,"Miami, FL","(25.7741728, -80.19362)",25.7741728,-80.19362
JD Urso,Miami,Tampa,FL,"Tampa, FL","(27.9477595, -82.458444)",27.9477595,-82.458444
Blake Cyr,Miami,Windermere,FL,"Windermere, FL","(28.4944695, -81.5345547)",28.4944695,-81.5345547
Drew Dwyer,Miami,Fort Myers,FL,"Fort Myers, FL","(26.640628, -81.8723084)",26.640628,-81.8723084
Jack Scanlon,Miami,Sloatsburg,NY,"Sloatsburg, NY","(41.1545395, -74.192924)",41.1545395,-74.192924
Lucas Costello,Miami,Miami,FL,"Miami, FL","(25.7741728, -80.19362)",25.7741728,-80.19362
Herick Hernandez,Miami,Hialeah,FL,"Hialeah, FL","(25.8575963, -80.2781057)",25.8575963,-80.2781057
Brian Walters,Miami,Palm Bay,FL,"Palm Bay, FL","(27.9946969, -80.6366144)",27.9946969,-80.6366144
Antonio Jimenez,Miami,Davie,FL,"Davie, FL","(26.0628665, -80.2331038)",26.0628665,-80.2331038
Daniel Cuvet,Miami,Fort Lauderdale,FL,"Fort Lauderdale, FL","(26.1223084, -80.1433786)",26.1223084,-80.1433786
Luca Reyes,Miami,Teaneck,NJ,"Teaneck, NJ","(40.8860164, -74.0072568)",40.8860164,-74.0072568
Chris Diaz,Miami,Hialeah,FL,"Hialeah, FL","(25.8575963, -80.2781057)",25.8575963,-80.2781057
Jake Kulikowski,Miami,Trinity,FL,"Trinity, FL","(28.185724999999998, -82.66114095772059)",28.185725,-82.66114096
Julian Hernandez,Miami,Miami,FL,"Miami, FL","(25.7741728, -80.19362)",25.7741728,-80.19362
Rafe Schlesinger,Miami,Holbrook,NY,"Holbrook, NY","(40.794373, -73.070022)",40.794373,-73.070022
Slaide Naturman,Miami,Roswell,GA,"Roswell, GA","(34.02332, -84.360022)",34.02332,-84.360022
Jordan Vargas,Miami,Hialeah,FL,"Hialeah, FL","(25.8575963, -80.2781057)",25.8575963,-80.2781057
JT Caruso,Miami,Mount Sinai,NY,"Mount Sinai, NY","(40.9470432, -73.0295495)",40.9470432,-73.0295495
Gage Ziehl,Miami,Macedon,NY,"Macedon, NY","(43.06923, -77.298875)",43.06923,-77.298875
AJ Goytia,Miami,Wesley Chapel,FL,"Wesley Chapel, FL","(28.1866014, -82.36612096903323)",28.1866014,-82.36612097
Alex Stanyek,Miami,Holmdel,NJ,"Holmdel, NJ","(40.3451095, -74.1840322)",40.3451095,-74.1840322
Nick Robert,Miami,Stuart,FL,"Stuart, FL","(27.197983, -80.2519175)",27.197983,-80.2519175
Jason Torres,Miami,Hialeah,FL,"Hialeah, FL","(25.8575963, -80.2781057)",25.8575963,-80.2781057
Eric Fernandez,Miami,Miami,FL,"Miami, FL","(25.7741728, -80.19362)",25.7741728,-80.19362
Jacoby Long,Miami,Palm Beach Gardens,FL,"Palm Beach Gardens, FL","(26.8233946, -80.1386547)",26.8233946,-80.1386547
Myles Caba,Miami,Valrico,FL,"Valrico, FL","(27.9484265, -82.23621545220522)",27.9484265,-82.23621545
Ben Chestnutt,Miami,Debary,FL,"Debary, FL","(28.879705350000002, -81.32221230980909)",28.87970535,-81.32221231
Edgardo Villegas,Miami,Vega Alta,PR,"Vega Alta, PR","(18.4119864, -66.3301167)",18.4119864,-66.3301167
Brandon Olivera,Miami,Hialeah,FL,"Hialeah, FL","(25.8575963, -80.2781057)",25.8575963,-80.2781057
Ashton Crowther,Miami,Trinity,FL,"Trinity, FL","(28.185724999999998, -82.66114095772059)",28.185725,-82.66114096
Renzo Gonzalez,Miami,Miami,FL,"Miami, FL","(25.7741728, -80.19362)",25.7741728,-80.19362
Chris Scinta,Miami,Tamarac,FL,"Tamarac, FL","(26.2048464, -80.27080479659301)",26.2048464,-80.2708048
Gaby Gutierrez,Miami,Miami,FL,"Miami, FL","(25.7741728, -80.19362)",25.7741728,-80.19362
Carlos Perez,Miami,Miami,FL,"Miami, FL","(25.7741728, -80.19362)",25.7741728,-80.19362
Lorenzo Carrier,Miami,Bear,DE,"Bear, DE","(39.6292788, -75.6582628)",39.6292788,-75.6582628
Cohl Mercado,Boston College,Ocean View,NJ,"Ocean View, NJ","(39.1765032, -74.7334961)",39.1765032,-74.7334961
Adam Magpoc,Boston College,Torrance,CA,"Torrance, CA","(33.8371392, -118.3413606)",33.8371392,-118.3413606
Nathanael Frederking,Boston College,London,ON,"London, ON","(42.9832406, -81.243372)",42.9832406,-81.243372
Cam Caraher,Boston College,Plymouth,MA,"Plymouth, MA","(41.9426657, -70.7618592)",41.9426657,-70.7618592
Chris Markovich,Boston College,Lebanon,NJ,"Lebanon, NJ","(40.6417683, -74.8359987)",40.6417683,-74.8359987
Patrick Roche,Boston College,Milton,MA,"Milton, MA","(42.2501425, -71.065573)",42.2501425,-71.065573
Barry Walsh,Boston College,Sterling,MA,"Sterling, MA","(42.4374411, -71.7601869)",42.4374411,-71.7601869
Aidan Harrington,Boston College,Millis,MA,"Millis, MA","(42.1674963, -71.3572212)",42.1674963,-71.3572212
Brad Lombardi,Boston College,East Greenwich,RI,"East Greenwich, RI","(41.6603788, -71.4558911)",41.6603788,-71.4558911
Cameron Leary,Boston College,Bethpage,NY,"Bethpage, NY","(40.749517, -73.485536)",40.749517,-73.485536
Owen DeShazo,Boston College,Glen Allen,VA,"Glen Allen, VA","(37.664879, -77.48712356574592)",37.664879,-77.48712357
Vince Cimini,Boston College,Scranton,PA,"Scranton, PA","(41.4086874, -75.6621294)",41.4086874,-75.6621294
Aidan Crowley,Boston College,Shoreham,NY,"Shoreham, NY","(40.9573208, -72.9076025)",40.9573208,-72.9076025
Connor Dreyer,Boston College,Chatham,NJ,"Chatham, NJ","(40.7409242, -74.3836711)",40.7409242,-74.3836711
Matthew Nunan,Boston College,Egg Harbor,NJ,"Egg Harbor, NJ","(39.3820672, -74.6171489)",39.3820672,-74.6171489
Kyle Wolff,Boston College,Andover,MA,"Andover, MA","(42.65717, -71.1408776)",42.65717,-71.1408776
Brian McMonagle,Boston College,Moorestown,NJ,"Moorestown, NJ","(39.9670569, -74.9426677)",39.9670569,-74.9426677
Tyler Mudd,Boston College,Shrewsbury,MA,"Shrewsbury, MA","(42.2960187, -71.71351)",42.2960187,-71.71351
Charlie Coon,Boston College,Duxbury,MA,"Duxbury, MA","(42.0417695, -70.672259)",42.0417695,-70.672259
Parker Landwehr,Boston College,Baltimore,MD,"Baltimore, MD","(39.2908816, -76.610759)",39.2908816,-76.610759
Gio Arzuaga,Boston College,New Bedford,MA,"New Bedford, MA","(41.6362152, -70.934205)",41.6362152,-70.934205
Austin Hartsell,Boston College,Bridgewater,MA,"Bridgewater, MA","(41.9903787, -70.9750426)",41.9903787,-70.9750426
Ryan DiMaggio,Boston College,Hamilton,NJ,"Hamilton, NJ","(40.2070573, -74.0812506)",40.2070573,-74.0812506
Sam McNulty,Boston College,Cambridge,MA,"Cambridge, MA","(42.3656347, -71.1040018)",42.3656347,-71.1040018
John Collins,Boston College,New York,NY,"New York, NY","(40.7127281, -74.0060152)",40.7127281,-74.0060152
Gavin Hasche,Boston College,Parker,CO,"Parker, CO","(39.5184514, -104.7612638)",39.5184514,-104.7612638
Sean Hard,Boston College,Mahwah,NJ,"Mahwah, NJ","(41.0887072, -74.1437552)",41.0887072,-74.1437552
Eric Schroeder,Boston College,Ridgewood,NJ,"Ridgewood, NJ","(40.9796683, -74.1194403)",40.9796683,-74.1194403
John West,Boston College,Shrewsbury,MA,"Shrewsbury, MA","(42.2960187, -71.71351)",42.2960187,-71.71351
Joe Gold,Boston College,Ballston Spa,NY,"Ballston Spa, NY","(43.0009087, -73.8490111)",43.0009087,-73.8490111
Evan Moore,Boston College,Rocky Hill,CO,"Rocky Hill, CO","(40.3998283, -74.6343244)",40.3998283,-74.6343244
James Hackett,Boston College,Glenview,IL,"Glenview, IL","(42.0700662, -87.8114044)",42.0700662,-87.8114044
Jordan Fisse,Boston College,Ridgewood,NJ,"Ridgewood, NJ","(40.9796683, -74.1194403)",40.9796683,-74.1194403
Beck Milner,Boston College,Park City,UT,"Park City, UT","(40.6460921, -111.4979963)",40.6460921,-111.4979963
Tony Humphrey,Boston College,Courtland Manor,NY,"Courtland Manor, NY","(42.604729, -76.187370)",42.604729,-76.18737
Bobby Chicoine,Boston College,Armonk,NY,"Armonk, NY","(41.1264847, -73.7139777)",41.1264847,-73.7139777
Nick Wang,Boston College,Newton,MA,"Newton, MA","(42.3370414, -71.2092214)",42.3370414,-71.2092214
Travis Lane,Boston College,Georgetown,MA,"Georgetown, MA","(42.7245632, -70.9919685)",42.7245632,-70.9919685
Kyle Kipp,Boston College,Stamford,CO,"Stamford, CO","(32.9439359, -99.798715)",32.9439359,-99.798715
Nate McHugh,Boston College,Franktown,CO,"Franktown, CO","(39.389418500000005, -104.74796713803681)",39.3894185,-104.7479671
A.J. Colarusso,Boston College,Leominster,MA,"Leominster, MA","(42.5267443, -71.7614891)",42.5267443,-71.7614891
Michael Farinelli,Boston College,New York,NY,"New York, NY","(40.7127281, -74.0060152)",40.7127281,-74.0060152
Joey Ryan,Boston College,Norwood,MA,"Norwood, MA","(42.194543, -71.1994976)",42.194543,-71.1994976
Esteban Garcia,Boston College,Queens,NY,"Queens, NY","(40.6515585, -73.79267536317502)",40.6515585,-73.79267536
Connor Bertsch,Boston College,West Roxbury,MA,"West Roxbury, MA","(42.278477699999996, -71.1633675365648)",42.2784777,-71.16336754
Stephen McLendon,Boston College,Nashua,NH,"Nashua, NH","(42.7656251, -71.4677032)",42.7656251,-71.4677032
DM Jefferson,Notre Dame,Washington, DC,"Washington,  DC","(38.8950368, -77.0365427)",38.8950368,-77.0365427
David Glancy,Notre Dame,Neptune City, NJ,"Neptune City,  NJ","(40.2001133, -74.0279152)",40.2001133,-74.0279152
Estevan Moreno,Notre Dame,Hanover Park, IL,"Hanover Park,  IL","(41.9994722, -88.1450735)",41.9994722,-88.1450735
David Lally Jr.,Notre Dame,Grand Blanc, MI,"Grand Blanc,  MI","(42.9275277, -83.6299518)",42.9275277,-83.6299518
TJ Williams,Notre Dame,Germantown, MD,"Germantown,  MD","(39.17130815, -77.26557848822242)",39.17130815,-77.26557849
Tito Flores,Notre Dame,Allen Park, MI,"Allen Park,  MI","(42.2595071, -83.2107671)",42.2595071,-83.2107671
Carson Tinney,Notre Dame,Castle Pines, CO,"Castle Pines,  CO","(39.471362150000004, -104.89517293539437)",39.47136215,-104.8951729
Troy Reader,Notre Dame,Tampa, FL,"Tampa,  FL","(27.9477595, -82.458444)",27.9477595,-82.458444
Rory Fox,Notre Dame,Waukesha, WI,"Waukesha,  WI","(43.0622536, -88.3123889)",43.0622536,-88.3123889
Jack Penney,Notre Dame,Wakefield, MA,"Wakefield,  MA","(42.506484, -71.0728306)",42.506484,-71.0728306
Connor Hincks,Notre Dame,Western Springs, IL,"Western Springs,  IL","(41.8096132, -87.900671)",41.8096132,-87.900671
Joey Spence,Notre Dame,West Bend, WI,"West Bend,  WI","(43.4252776, -88.1834277)",43.4252776,-88.1834277
Nathan Manning,Notre Dame,Mission Viejo, CA,"Mission Viejo,  CA","(33.5965685, -117.659405)",33.5965685,-117.659405
Josh Hahn,Notre Dame,Huntington Beach, CA,"Huntington Beach,  CA","(33.6783336, -118.000016)",33.6783336,-118.000016
Drayk Bowen,Notre Dame,Merrillville, IN,"Merrillville,  IN","(41.4828144, -87.3328139)",41.4828144,-87.3328139
Simon Baumgardt,Notre Dame,Evergreen, CO,"Evergreen,  CO","(39.6361637, -105.32145797867402)",39.6361637,-105.321458
Casey Kmet,Notre Dame,Arlington Heights, IL,"Arlington Heights,  IL","(42.0811563, -87.9802164)",42.0811563,-87.9802164
Nick DeMarco,Notre Dame,St. Charles, IL,"St. Charles,  IL","(41.9139808, -88.3128183)",41.9139808,-88.3128183
Brady Gumpf,Notre Dame,South Bend, IN,"South Bend,  IN","(41.6833813, -86.2500066)",41.6833813,-86.2500066
Tobey McDonough,Notre Dame,Naples, FL,"Naples,  FL","(26.1421976, -81.7942944)",26.1421976,-81.7942944
Jack Findlay,Notre Dame,Ledgewood, NJ,"Ledgewood,  NJ","(40.8812101, -74.6559944)",40.8812101,-74.6559944
Ryan Lynch,Notre Dame,Granger, IN,"Granger,  IN","(41.7533819, -86.1108377)",41.7533819,-86.1108377
Caden Spivey,Notre Dame,Vidalia, GA,"Vidalia,  GA","(32.2176855, -82.4134614)",32.2176855,-82.4134614
Jack Radel,Notre Dame,Sioux Falls, SD,"Sioux Falls,  SD","(43.5476008, -96.7293629)",43.5476008,-96.7293629
Tony Lindwedel,Notre Dame,St. Louis, MO,"St. Louis,  MO","(38.6280278, -90.1910154)",38.6280278,-90.1910154
Keenan Mork,Notre Dame,River Falls, WI,"River Falls,  WI","(44.8596498, -92.6255048)",44.8596498,-92.6255048
Matt Bedford,Notre Dame,Staten Island, NY,"Staten Island,  NY","(40.5724274, -74.14520777205962)",40.5724274,-74.14520777
Radek Birkholz,Notre Dame,Highlands Ranch, CO,"Highlands Ranch,  CO","(39.5497243, -104.969565)",39.5497243,-104.969565
Nate Hardman,Notre Dame,Bloomington, IL,"Bloomington,  IL","(40.4797828, -88.9939147)",40.4797828,-88.9939147
Hagan Ward,Notre Dame,Wellesley, MA,"Wellesley,  MA","(42.2964859, -71.2925571)",42.2964859,-71.2925571
Aidan Krupp,Notre Dame,River Forest, IL,"River Forest,  IL","(41.8978091, -87.8139483)",41.8978091,-87.8139483
Jackson Dennies,Notre Dame,New Orleans, LA,"New Orleans,  LA","(29.9759983, -90.0782127)",29.9759983,-90.0782127
Bennett Flynn,Notre Dame,Mill Valley, CA,"Mill Valley,  CA","(37.9060368, -122.5449763)",37.9060368,-122.5449763
Noah Greenseid,Notre Dame,Coral Springs, FL,"Coral Springs,  FL","(26.271192, -80.2706044)",26.271192,-80.2706044
Tore Indomenico,Notre Dame,Chicago, IL,"Chicago,  IL","(41.8755616, -87.6244212)",41.8755616,-87.6244212
DJ Helwig,Notre Dame,Mokena, IL,"Mokena,  IL","(41.5261437, -87.8892189)",41.5261437,-87.8892189
Ricky Reeth,Notre Dame,Windermere, FL,"Windermere,  FL","(28.4944695, -81.5345547)",28.4944695,-81.5345547
Sammy Cooper,Notre Dame,Lee's Summit, MO,"Lee's Summit,  MO","(38.9107156, -94.3821295)",38.9107156,-94.3821295
