Player,School,Hometown,Hometown State,Hometown Full,Hometown Coordinates,Hometown Lat,Hometown Lon
Luke Brown,Clemson,Apex,NC,"Apex, NC","(35.7325352, -78.8505516)",35.7325352,-78.8505516
Casey Tallent,Clemson,Hartwell,GA,"Hartwell, GA","(34.3528825, -82.932087)",34.3528825,-82.932087
Tristan Bissetta,Clemson,Greenville,SC,"Greenville, SC","(34.851354, -82.3984882)",34.851354,-82.3984882
Joe Allen,Clemson,Hampton Falls,NH,"Hampton Falls, NH","(42.9280119, -70.88806837480472)",42.9280119,-70.88806837
Billy Barlow,Clemson,North Myrtle Beach,SC,"North Myrtle Beach, SC","(33.8278405, -78.6800323)",33.8278405,-78.6800323
Jacob McGovern,Clemson,Seneca,SC,"Seneca, SC","(34.6865321, -82.9527288)",34.6865321,-82.9527288
Nick Couch,Clemson,Greenville,SC,"Greenville, SC","(34.851354, -82.3984882)",34.851354,-82.3984882
Justin LeGuernic,Clemson,Dix Hills,NY,"Dix Hills, NY","(40.8048207, -73.3362298)",40.8048207,-73.3362298
Noah Samol,Clemson,Mason,OH,"Mason, OH","(39.3600586, -84.309939)",39.3600586,-84.309939
Matthew Marchal,Clemson,Greenville,SC,"Greenville, SC","(34.851354, -82.3984882)",34.851354,-82.3984882
Jackson Cole,Clemson,Boiling Springs,SC,"Boiling Springs, SC","(35.04136, -81.97882024148419)",35.04136,-81.97882024
Ethan Darden,Clemson,Rock Hill,SC,"Rock Hill, SC","(34.9248667, -81.0250784)",34.9248667,-81.0250784
Brodey Conn,Clemson,Clemson,SC,"Clemson, SC","(34.6850749, -82.8364111)",34.6850749,-82.8364111
Nathan Dvorsky,Clemson,Suwanee,GA,"Suwanee, GA","(34.0514898, -84.0712997)",34.0514898,-84.0712997
Devin Parks,Clemson,Fort Mill,SC,"Fort Mill, SC","(35.0073697, -80.9450759)",35.0073697,-80.9450759
Ty Marshall,Clemson,Cayce,SC,"Cayce, SC","(33.9657091, -81.0739827)",33.9657091,-81.0739827
Lucas Mahlstedt,Clemson,Ormond Beach,FL,"Ormond Beach, FL","(29.2854132, -81.0557921)",29.2854132,-81.0557921
Rob Hughes,Clemson,Rock Hill,SC,"Rock Hill, SC","(34.9248667, -81.0250784)",34.9248667,-81.0250784
Chance Fitzgerald,Clemson,Sanford,FL,"Sanford, FL","(28.8117345, -81.2680223)",28.8117345,-81.2680223
Rocco Reid,Clemson,Greenville,SC,"Greenville, SC","(34.851354, -82.3984882)",34.851354,-82.3984882
Tryston McCladdie,Clemson,Harlem,GA,"Harlem, GA","(33.4145834, -82.3126237)",33.4145834,-82.3126237
Austin Gordon,Clemson,Myrtle Beach,SC,"Myrtle Beach, SC","(33.6956461, -78.8900409)",33.6956461,-78.8900409
Alex Alicea,Louisville,Milwaukee,WI,"Milwaukee, WI","(43.0386475, -87.9090751)",43.0386475,-87.9090751
Patrick Forbes,Louisville,Bowling Green,KY,"Bowling Green, KY","(36.9903199, -86.4436018)",36.9903199,-86.4436018
Logan Beard,Louisville,Louisville,KY,"Louisville, KY","(38.2542376, -85.759407)",38.2542376,-85.759407
Will Vierling,Louisville,Mequon,WI,"Mequon, WI","(43.2219088, -87.9822969)",43.2219088,-87.9822969
Gavin Kilen,Louisville,Milton,WI,"Milton, WI","(42.7753567, -88.9390017)",42.7753567,-88.9390017
Noah Bush,Louisville,Waverly,MN,"Waverly, MN","(45.0666303, -93.9663609)",45.0666303,-93.9663609
Kade Grundy,Louisville,Somerset,KY,"Somerset, KY","(37.0920222, -84.6041084)",37.0920222,-84.6041084
Brandon Anderson,Louisville,Richmond,KY,"Richmond, KY","(37.7478572, -84.2946539)",37.7478572,-84.2946539
Dylan Hoy,Louisville,Suffern,NY,"Suffern, NY","(41.1151372, -74.1493948)",41.1151372,-74.1493948
Carson Liggett,Louisville,Overland Park,KA,"Overland Park, KA","(35.144303449999995, -81.96619956324727)",35.14430345,-81.96619956
Ty Starke,Louisville,Louisville,KY,"Louisville, KY","(38.2542376, -85.759407)",38.2542376,-85.759407
JT Benson,Louisville,Crestwood,KY,"Crestwood, KY","(38.3235441, -85.4726215)",38.3235441,-85.4726215
George Baker,Louisville,Waldorf,MD,"Waldorf, MD","(38.6263882, -76.9106581)",38.6263882,-76.9106581
Colton Hartman,Louisville,Lebanon,OH,"Lebanon, OH","(39.4353373, -84.2029922)",39.4353373,-84.2029922
Michael Lippe,Louisville,Whitefish Bay,WI,"Whitefish Bay, WI","(43.1133445, -87.9000856)",43.1133445,-87.9000856
Kyle Crow,Louisville,Fenton,MI,"Fenton, MI","(42.7978061, -83.7049498)",42.7978061,-83.7049498
Will Koger,Louisville,Bardstown,KY,"Bardstown, KY","(37.8092463, -85.4669015)",37.8092463,-85.4669015
TJ Schlageter,Louisville,Romeoville,IL,"Romeoville, IL","(41.6475306, -88.0895061)",41.6475306,-88.0895061
Korbyn Dickerson,Louisville,Jeffersonville,IN,"Jeffersonville, IN","(38.2770227, -85.7371604)",38.2770227,-85.7371604
Tucker Biven,Louisville,New Albany,IN,"New Albany, IN","(38.2856247, -85.8241312)",38.2856247,-85.8241312
Wyatt Danilowicz,Louisville,Traverse City,MI,"Traverse City, MI","(44.7606481, -85.6165976)",44.7606481,-85.6165976
Matt Klein,Louisville,Louisville,KY,"Louisville, KY","(38.2542376, -85.759407)",38.2542376,-85.759407
Sebastian Gongora,Louisville,Dayton,OH,"Dayton, OH","(39.7589478, -84.1916069)",39.7589478,-84.1916069
Evan Webster,Louisville,Union,KY,"Union, KY","(37.637247, -87.958036)",37.637247,-87.958036
Parker Detmers,Louisville,Chatham,IL,"Chatham, IL","(39.676163, -89.7045439)",39.676163,-89.7045439
Ryan McCoy,Louisville,Frankfort,IL,"Frankfort, IL","(41.4958665, -87.8486613)",41.4958665,-87.8486613
Zion Rose,Louisville,Chicago,IL,"Chicago, IL","(41.8755616, -87.6244212)",41.8755616,-87.6244212
Mitchell Dean,Louisville,Russiaville,IN,"Russiaville, IN","(40.4175374, -86.2713849)",40.4175374,-86.2713849
Jared Lessman,Louisville,Cumberland,WI,"Cumberland, WI","(45.5326798, -92.0213472)",45.5326798,-92.0213472
Luke Napleton,Louisville,LaGrange,IL,"LaGrange, IL","(39.9396935, -90.5349286)",39.9396935,-90.5349286
Tagger Tyson,Louisville,Mount Pleasant,SC,"Mount Pleasant, SC","(32.7940651, -79.8625851)",32.7940651,-79.8625851
Morgan Davis,Louisville,Bedford,NY,"Bedford, NY","(41.2041304, -73.642509)",41.2041304,-73.642509
Jake Karaba,Louisville,Naperville,IL,"Naperville, IL","(41.7728699, -88.1479278)",41.7728699,-88.1479278
Jake Murphy,Louisville,Kingsville,OH,"Kingsville, OH","(41.890774, -80.6766179)",41.890774,-80.6766179
Riley Phillips,Louisville,Godfrey,IL,"Godfrey, IL","(38.9556031, -90.1867765)",38.9556031,-90.1867765
Eddie King Jr.,Louisville,Lynwood,IL,"Lynwood, IL","(41.5255648, -87.54056)",41.5255648,-87.54056
Braxton Stewart,Louisville,Winston-Salem,NC,"Winston-Salem, NC","(36.0998131, -80.2440518)",36.0998131,-80.2440518
Dan Snyder,Louisville,Erie,PA,"Erie, PA","(42.1294712, -80.0852695)",42.1294712,-80.0852695
Justin West,Louisville,Paducah,KY,"Paducah, KY","(37.0833893, -88.6000478)",37.0833893,-88.6000478
Thomas Howard,Louisville,Lexington,KY,"Lexington, KY","(38.0464066, -84.4970393)",38.0464066,-84.4970393
Kayden Campbell,Louisville,Cincinnati,OH,"Cincinnati, OH","(39.1014537, -84.5124602)",39.1014537,-84.5124602
Josh Klug,Louisville,Traverse City,MI,"Traverse City, MI","(44.7606481, -85.6165976)",44.7606481,-85.6165976
Isaac Humphrey,Louisville,Livermore,KY,"Livermore, KY","(37.4931026, -87.1319409)",37.4931026,-87.1319409
Lucas Moore,Louisville,Cincinnati,OH,"Cincinnati, OH","(39.1014537, -84.5124602)",39.1014537,-84.5124602
Kaleb Corbett,Louisville,Louisville,KY,"Louisville, KY","(38.2542376, -85.759407)",38.2542376,-85.759407
Luke Nixon,NC State,Wilmington,NC,"Wilmington, NC","(34.2257282, -77.9447107)",34.2257282,-77.9447107
Carson Falsken,NC State,Newbury Park,CA,"Newbury Park, CA","(34.183671, -118.91183)",34.183671,-118.91183
Noah Soles,NC State,Thomasville,NC,"Thomasville, NC","(35.8831786, -80.081817)",35.8831786,-80.081817
Brandon Butterworth,NC State,Monroe,NC,"Monroe, NC","(34.9854275, -80.5495112)",34.9854275,-80.5495112
Matt Heavner,NC State,Lincolnton,NC,"Lincolnton, NC","(35.473745, -81.2545251)",35.473745,-81.2545251
Peyton Young,NC State,Hickory,NC,"Hickory, NC","(35.7333312, -81.3442915)",35.7333312,-81.3442915
Christopher Zupito,NC State,Drexel Hill,PA,"Drexel Hill, PA","(39.9483282, -75.30688778777797)",39.9483282,-75.30688779
Chance Mako,NC State,Salisbury,NC,"Salisbury, NC","(35.6709727, -80.4742261)",35.6709727,-80.4742261
Garrett Payne,NC State,Charlottesville,VA,"Charlottesville, VA","(38.029306, -78.4766781)",38.029306,-78.4766781
Chase Nixon,NC State,Wilmington,NC,"Wilmington, NC","(34.2257282, -77.9447107)",34.2257282,-77.9447107
Alex Sosa,NC State,Viera,FL,"Viera, FL","(28.243006, -80.7301522)",28.243006,-80.7301522
Jacob Cozart,NC State,High Point,NC,"High Point, NC","(35.9556924, -80.0053176)",35.9556924,-80.0053176
Drew Lanphere,NC State,Wendell,NC,"Wendell, NC","(35.780987, -78.3697213)",35.780987,-78.3697213
Eli Serrano III,NC State,Fuquay-Varina,NC,"Fuquay-Varina, NC","(35.5843849, -78.7998691)",35.5843849,-78.7998691
Sam Highfill,NC State,Apex,NC,"Apex, NC","(35.7325352, -78.8505516)",35.7325352,-78.8505516
Jaxon Lucas,NC State,Garner,NC,"Garner, NC","(35.7112642, -78.6141709)",35.7112642,-78.6141709
Heath Andrews,NC State,Fincastle,VA,"Fincastle, VA","(37.4993048, -79.8772619)",37.4993048,-79.8772619
Ryan Marohn,NC State,Chantilly,VA,"Chantilly, VA","(38.8941543, -77.4311513)",38.8941543,-77.4311513
Josh Hogue,NC State,North Palm Beach,FL,"North Palm Beach, FL","(26.8237944, -80.05592659756701)",26.8237944,-80.0559266
Matt Willadsen,NC State,Holly Springs,NC,"Holly Springs, NC","(35.6512655, -78.8336218)",35.6512655,-78.8336218
Carson Kelly,NC State,Sanford,NC,"Sanford, NC","(35.4798757, -79.1802994)",35.4798757,-79.1802994
Derrick Smith,NC State,White Bear Lake,MN,"White Bear Lake, MN","(45.0838098, -93.0069304)",45.0838098,-93.0069304
Win Scott,NC State,Jamestown,NC,"Jamestown, NC","(35.9941053, -79.9356589)",35.9941053,-79.9356589
Cooper Consiglio,NC State,Palm Harbor,FL,"Palm Harbor, FL","(28.0780718, -82.7637127)",28.0780718,-82.7637127
Logan Whitaker,NC State,Winston-Salem,NC,"Winston-Salem, NC","(36.0998131, -80.2440518)",36.0998131,-80.2440518
Robert Nedry,NC State,Lighthouse Point,FL,"Lighthouse Point, FL","(26.27787305, -80.08896651356972)",26.27787305,-80.08896651
Shane Van Dam,NC State,Cranford,NJ,"Cranford, NJ","(40.6584358, -74.2995923)",40.6584358,-74.2995923
Garrett Pennington,NC State,Lenexa,KA,"Lenexa, KA","(38.9697458, -94.7845837)",38.9697458,-94.7845837
P.J. Labriola,NC State,Bradenton,FL,"Bradenton, FL","(27.4989278, -82.5748194)",27.4989278,-82.5748194
Camden Wimbish,NC State,Locust,NC,"Locust, NC","(35.2598655, -80.4253426)",35.2598655,-80.4253426
Jacob Halford,NC State,Gastonia,NC,"Gastonia, NC","(35.2622654, -81.1838186)",35.2622654,-81.1838186
Jacob Dudan,NC State,Huntersville,NC,"Huntersville, NC","(35.4108278, -80.8429304)",35.4108278,-80.8429304
Jacob Dienes,NC State,Wilson,NC,"Wilson, NC","(35.7212689, -77.9155395)",35.7212689,-77.9155395
John Miralia,NC State,Charlotte,NC,"Charlotte, NC","(35.2272086, -80.8430827)",35.2272086,-80.8430827
Hollis Fanning,NC State,Lynchburg,TN,"Lynchburg, TN","(35.2831727, -86.3739827)",35.2831727,-86.3739827
Jake Bechtel,NC State,Palm Harbor,FL,"Palm Harbor, FL","(28.0780718, -82.7637127)",28.0780718,-82.7637127
Andrew Shaffner,NC State,Elk Creek,VA,"Elk Creek, VA","(37.310331, -79.391494)",37.310331,-79.391494
Dominic Fritton,NC State,Fuquay-Varina,NC,"Fuquay-Varina, NC","(35.5843849, -78.7998691)",35.5843849,-78.7998691
Alec Makarewicz,NC State,Longwood,FL,"Longwood, FL","(28.7012172, -81.3461738)",28.7012172,-81.3461738
Sam Tackett,Virginia Tech,Lexington,KY,"Lexington, KY","(38.0464066, -84.4970393)",38.0464066,-84.4970393
Christian Martin,Virginia Tech,Amherst,VA,"Amherst, VA","(37.5997548, -79.1483701)",37.5997548,-79.1483701
Carson DeMartini,Virginia Tech,Virginia Beach,VA,"Virginia Beach, VA","(36.8529841, -75.9774183)",36.8529841,-75.9774183
Gehrig Ebel,Virginia Tech,Ooltewah,TENN,"Ooltewah, TENN","(35.0522068, -85.10265801288662)",35.0522068,-85.10265801
Henry Cooke,Virginia Tech,Stuarts Draft,VA,"Stuarts Draft, VA","(38.0217005, -79.03718723464783)",38.0217005,-79.03718723
Nick Locurto,Virginia Tech,Garnerville,NY,"Garnerville, NY","(41.2017613, -73.9943068)",41.2017613,-73.9943068
Clay Grady,Virginia Tech,Suffolk,VA,"Suffolk, VA","(36.7282096, -76.5835703)",36.7282096,-76.5835703
Ben Watson,Virginia Tech,West Chester,PA,"West Chester, PA","(39.9597213, -75.6059638)",39.9597213,-75.6059638
Eddie Eisert,Virginia Tech,Fairfax Station,VA,"Fairfax Station, VA","(38.800859, -77.3256803)",38.800859,-77.3256803
Ethan Gibson,Virginia Tech,Abingdon,VA,"Abingdon, VA","(36.7104018, -81.975249)",36.7104018,-81.975249
Jordan Vera,Virginia Tech,Miami,FL,"Miami, FL","(25.7741728, -80.19362)",25.7741728,-80.19362
Jeremy Neff,Virginia Tech,West Palm Beach,FL,"West Palm Beach, FL","(26.715364, -80.0532942)",26.715364,-80.0532942
Matthew Siverling,Virginia Tech,Matthews,NC,"Matthews, NC","(35.1159532, -80.7224386)",35.1159532,-80.7224386
Brett Renfrow,Virginia Tech,Manassas,VA,"Manassas, VA","(38.7509488, -77.4752667)",38.7509488,-77.4752667
Warren Holzemer,Virginia Tech,Burke,VA,"Burke, VA","(38.7771321, -77.2754691)",38.7771321,-77.2754691
Eddie Micheletti Jr.,Virginia Tech,Wilmington,DE,"Wilmington, DE","(39.7459468, -75.546589)",39.7459468,-75.546589
Preston Crowl,Virginia Tech,Franklin County,VA,"Franklin County, VA","(37.0527719, -79.8813093)",37.0527719,-79.8813093
Carter Newman,Virginia Tech,Woodbridge,VA,"Woodbridge, VA","(38.6361522, -77.26783643627006)",38.6361522,-77.26783644
David Shoemaker,Virginia Tech,State College,PA,"State College, PA","(40.7944504, -77.8616386)",40.7944504,-77.8616386
Chris Cannizzaro,Virginia Tech,Staten Island,NY,"Staten Island, NY","(40.5724274, -74.14520777205962)",40.5724274,-74.14520777
Garrett Michel,Virginia Tech,Denver,NC,"Denver, NC","(35.5312452, -81.0297994)",35.5312452,-81.0297994
Griffin Stieg,Virginia Tech,McLean,VA,"McLean, VA","(38.9342888, -77.1776327)",38.9342888,-77.1776327
Ryan Kennedy,Virginia Tech,Manassas,VA,"Manassas, VA","(38.7509488, -77.4752667)",38.7509488,-77.4752667
Carrington Aaron,Virginia Tech,Callands,VA,"Callands, VA","(36.8201391, -79.5866965)",36.8201391,-79.5866965
Andrew Sentlinger,Virginia Tech,Charlotte,NC,"Charlotte, NC","(35.2272086, -80.8430827)",35.2272086,-80.8430827
Madden Clement,Virginia Tech,Butler,PA,"Butler, PA","(40.86108, -79.895197)",40.86108,-79.895197
Trey Way,Virginia Tech,Asheboro,NC,"Asheboro, NC","(35.7079146, -79.8136446)",35.7079146,-79.8136446
JT Gibson,Virginia Tech,McLean,VA,"McLean, VA","(38.9342888, -77.1776327)",38.9342888,-77.1776327
Jacob Exum,Virginia Tech,Virginia Beach,VA,"Virginia Beach, VA","(36.8529841, -75.9774183)",36.8529841,-75.9774183
Justin Herbstman,Virginia Tech,Old Bridge,NJ,"Old Bridge, NJ","(40.3913195, -74.3328038)",40.3913195,-74.3328038
Wyatt Parliament,Virginia Tech,La Fargeville,NY,"La Fargeville, NY","(44.1947726, -75.9660514)",44.1947726,-75.9660514
David McCann,Virginia Tech,Trumbull,CT,"Trumbull, CT","(41.3437081, -72.09308440675001)",41.3437081,-72.09308441
Jake Slade,Virginia Tech,Purcellville,VA,"Purcellville, VA","(39.1366223, -77.7145945)",39.1366223,-77.7145945
Ryan Buckler,Virginia Tech,Marstons Mills,MA,"Marstons Mills, MA","(41.6562249, -70.4161387)",41.6562249,-70.4161387
Grant Manning,Virginia Tech,Dublin,CA,"Dublin, CA","(37.7021521, -121.9357918)",37.7021521,-121.9357918
Matt Westley,Virginia Tech,Manassas,VA,"Manassas, VA","(38.7509488, -77.4752667)",38.7509488,-77.4752667
Carson Ohl,Virginia Tech,Simi Valley,CA,"Simi Valley, CA","(34.2677404, -118.7538071)",34.2677404,-118.7538071
Brady Kirtner,Virginia Tech,Christiansburg,VA,"Christiansburg, VA","(37.1298517, -80.4089389)",37.1298517,-80.4089389
Jacob Stretch,Virginia Tech,West Grove,PA,"West Grove, PA","(39.82055685, -75.82832725481009)",39.82055685,-75.82832725
Jordan Little,Virginia Tech,Mint Hill,NC,"Mint Hill, NC","(35.1735388, -80.6570377)",35.1735388,-80.6570377
Garrett Mason,Virginia Tech,Henrico,VA,"Henrico, VA","(37.5131191, -77.3465081)",37.5131191,-77.3465081
Mitch Jones,Virginia Tech,Greenville,NC,"Greenville, NC","(35.613224, -77.3724593)",35.613224,-77.3724593
Griffin Green,Virginia Tech,Chelmsford,MA,"Chelmsford, MA","(42.5968617, -71.3517602)",42.5968617,-71.3517602
Luke Jackman,Virginia Tech,McLean,VA,"McLean, VA","(38.9342888, -77.1776327)",38.9342888,-77.1776327
Mike Becchetti,Georgia Tech,Eastchester,NY,"Eastchester, NY","(40.9610563, -73.8064739)",40.9610563,-73.8064739
Parker Brosius,Georgia Tech,Suwanee,GA,"Suwanee, GA","(34.0514898, -84.0712997)",34.0514898,-84.0712997
Cam Jones,Georgia Tech,Houston County,GA,"Houston County, GA","(32.4659752, -83.631394)",32.4659752,-83.631394
Jackson Gaspard,Georgia Tech,Flowery Branch,GA,"Flowery Branch, GA","(34.1851017, -83.9251809)",34.1851017,-83.9251809
Tyler Minnick,Georgia Tech,Marietta,GA,"Marietta, GA","(33.9528472, -84.5496148)",33.9528472,-84.5496148
Demitri Diamant,Georgia Tech,Las Vegas,NV,"Las Vegas, NV","(36.1672559, -115.148516)",36.1672559,-115.148516
Carson Kerce,Georgia Tech,Marietta,GA,"Marietta, GA","(33.9528472, -84.5496148)",33.9528472,-84.5496148
Jett Lovett,Georgia Tech,Newnan,GA,"Newnan, GA","(33.3806716, -84.7996573)",33.3806716,-84.7996573
Drew Burress,Georgia Tech,Houston County,GA,"Houston County, GA","(32.4659752, -83.631394)",32.4659752,-83.631394
Payton Green,Georgia Tech,Cary,NC,"Cary, NC","(35.7882893, -78.7812081)",35.7882893,-78.7812081
Ryan Jaros,Georgia Tech,Cranford,NJ,"Cranford, NJ","(40.6584358, -74.2995923)",40.6584358,-74.2995923
Bobby Zmarzlak,Georgia Tech,Stamford,CT,"Stamford, CT","(41.0534302, -73.5387341)",41.0534302,-73.5387341
Camron Hill,Georgia Tech,Fayetteville,GA,"Fayetteville, GA","(33.4487257, -84.4549262)",33.4487257,-84.4549262
Riley Stanford,Georgia Tech,Gainesville,GA,"Gainesville, GA","(34.2978794, -83.8240663)",34.2978794,-83.8240663
Nico Senese,Georgia Tech,Senoia,GA,"Senoia, GA","(33.3011663, -84.5540046)",33.3011663,-84.5540046
Trey Yunger,Georgia Tech,Atlanta,GA,"Atlanta, GA","(33.7489924, -84.3902644)",33.7489924,-84.3902644
JD Smith,Georgia Tech,Valdosta,GA,"Valdosta, GA","(30.8327022, -83.2784851)",30.8327022,-83.2784851
Ben King,Georgia Tech,Calhoun,GA,"Calhoun, GA","(31.5311784, -84.614328)",31.5311784,-84.614328
Tate McKee,Georgia Tech,Kennesaw,GA,"Kennesaw, GA","(34.0234337, -84.6154897)",34.0234337,-84.6154897
Carsten Sabathia,Georgia Tech,Alpine,NJ,"Alpine, NJ","(40.94855, -73.9281139)",40.94855,-73.9281139
Vahn Lackey,Georgia Tech,Suwanee,GA,"Suwanee, GA","(34.0514898, -84.0712997)",34.0514898,-84.0712997
Brett Denby,Georgia Tech,New Albany,IN,"New Albany, IN","(38.2856247, -85.8241312)",38.2856247,-85.8241312
Dawson Brown,Georgia Tech,Macon,GA,"Macon, GA","(32.8406946, -83.6324022)",32.8406946,-83.6324022
Logan McGuire,Georgia Tech,Acworth,GA,"Acworth, GA","(34.0659329, -84.6768796)",34.0659329,-84.6768796
Mason Patel,Georgia Tech,Knoxville,TN,"Knoxville, TN","(35.9603948, -83.9210261)",35.9603948,-83.9210261
Brett Thomas,Georgia Tech,Atlanta,GA,"Atlanta, GA","(33.7489924, -84.3902644)",33.7489924,-84.3902644
Brett Barfield,Georgia Tech,Cumming,GA,"Cumming, GA","(34.2073196, -84.1401926)",34.2073196,-84.1401926
Aeden Finateri,Georgia Tech,Watertown,CT,"Watertown, CT","(41.59411865, -73.10245670955362)",41.59411865,-73.10245671
Michael Graziano,Georgia Tech,Naples,FL,"Naples, FL","(26.1421976, -81.7942944)",26.1421976,-81.7942944
Aidan Jolley,Georgia Tech,Acworth,GA,"Acworth, GA","(34.0659329, -84.6768796)",34.0659329,-84.6768796
Caden Gaudette,Georgia Tech,Alpharetta,GA,"Alpharetta, GA","(34.0709576, -84.2747329)",34.0709576,-84.2747329
Carson Ballard,Georgia Tech,Alpharetta,GA,"Alpharetta, GA","(34.0709576, -84.2747329)",34.0709576,-84.2747329
Tyler Neises,Georgia Tech,Dalton,GA,"Dalton, GA","(34.7691867, -84.9702475)",34.7691867,-84.9702475
John Giesler,Georgia Tech,Marietta,GA,"Marietta, GA","(33.9528472, -84.5496148)",33.9528472,-84.5496148
Nathanael Coupet,Georgia Tech,Boynton Beach,FL,"Boynton Beach, FL","(26.5256179, -80.0666026)",26.5256179,-80.0666026
Michal Kovala,Georgia Tech,Ostrava, Czech Republic,"Ostrava,  Czech Republic","(49.8349139, 18.2820084)",49.8349139,18.2820084
Camren Landry,Georgia Tech,Johns Creek,GA,"Johns Creek, GA","(34.0181557, -84.190196)",34.0181557,-84.190196
Jake Tucker,Georgia Tech,Kennesaw,GA,"Kennesaw, GA","(34.0234337, -84.6154897)",34.0234337,-84.6154897
Jackson Sobel,Georgia Tech,Charleston,SC,"Charleston, SC","(32.7884363, -79.9399309)",32.7884363,-79.9399309
Petey Craska,Georgia Tech,Gibsonia,PA,"Gibsonia, PA","(40.6300671, -79.9695004)",40.6300671,-79.9695004
Terry Busse,Georgia Tech,Valparaiso,IN,"Valparaiso, IN","(41.4672552, -87.0604487)",41.4672552,-87.0604487
Matthew Ellis,Georgia Tech,Waddy,KY,"Waddy, KY","(38.1370153, -85.0743978)",38.1370153,-85.0743978
Reed Schaefer,Georgia Tech,Las Vegas,NV,"Las Vegas, NV","(36.1672559, -115.148516)",36.1672559,-115.148516
